trace, ltage, tage
server_001, 3.682, 3.683
server_002, 1.878, 1.878
server_003, 17.05, 17.13
server_004, 11.29, 11.28
server_009, 7.017, 7.014
server_010, 6.988, 6.985
server_011, 7.774, 7.772
server_012, 7.353, 7.35
server_013, 7.867, 7.867
server_014, 1.919, 1.92
server_015, 1.906, 1.907
server_016, 3.962, 3.954
server_017, 0.5246, 0.5232
server_018, 0.5215, 0.5206
server_019, 0.2841, 0.2832
server_020, 0.6276, 0.6265
server_021, 0.2904, 0.2899
server_022, 0.3495, 0.3489
server_023, 3.947, 3.941
server_024, 3.97, 3.964
server_025, 4.935, 4.932
server_026, 4.827, 4.827
server_027, 4.872, 4.868
server_028, 2.611, 2.606
server_029, 2.85, 2.847
server_030, 2.999, 2.997
server_031, 2.794, 2.789
server_032, 2.785, 2.784
server_033, 0.8152, 0.8071
server_034, 0.8869, 0.8795
server_034, 0.783, 0.7724
